target,occupancy
Penaeus aztecus,206.0
Penaeus duorarum,187.0
Penaeus setiferus,10.0
Callinectes sapidus,151.0
Sciaenops ocellatus,5.0
Cynoscion nebulosus,83.0
Lutjanus griseus,60.0
Lutjanus synagris,21.0
