target,occupancy
Penaeus aztecus,69.0
Penaeus duorarum,74.0
Penaeus setiferus,1.0
Callinectes sapidus,91.0
Sciaenops ocellatus,4.0
Cynoscion nebulosus,63.0
Lutjanus griseus,49.0
Lutjanus synagris,21.0
