common_name,scientific_name,occupancy
Brown shrimp,Penaeus aztecus,206
Pink shrimp,Penaeus duorarum,187
White shrimp,Penaeus setiferus,10
Blue crab,Callinectes sapidus,151
Red drum,Sciaenops ocellatus,5
Spotted seatrout,Cynoscion nebulosus,83
Gray snapper,Lutjanus griseus,60
Lane snapper,Lutjanus synagris,21
