target,occupancy
omnivore__demersal,565
detritivore__demersal,457
carnivore__demersal,378
carnivore__epifaunal,331
detritivore__epifaunal,317
piscivore__demersal,126
planktivore__epifaunal,95
invertivore__demersal,65
carnivore__pelagic,52
planktivore__pelagic,49
piscivore__pelagic,41
